record_id,country,emirate,admin_region,city_town,area_name,area_type,parent_area,slug,source_url
UAE-0001,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Abu Dhabi Island,island,,abu-dhabi-island-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0002,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Zahiyah,urban district,Abu Dhabi Island,al-zahiyah-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0003,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Danah,urban district,Abu Dhabi Island,al-danah-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0004,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Markaziyah,urban district,Abu Dhabi Island,al-markaziyah-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0005,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Madinat Zayed,urban district,Abu Dhabi Island,madinat-zayed-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0006,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Khalidiyah,urban district,Abu Dhabi Island,al-khalidiyah-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0007,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Bateen,urban district,Abu Dhabi Island,al-bateen-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0008,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Mushrif,urban district,Abu Dhabi Island,al-mushrif-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0009,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Muroor,urban district,Abu Dhabi Island,al-muroor-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0010,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Nahyan,urban district,Abu Dhabi Island,al-nahyan-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0011,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Wahdah,urban district,Abu Dhabi Island,al-wahdah-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0012,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Rowdah,urban district,Abu Dhabi Island,al-rowdah-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0013,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Maqtaa,urban district,,al-maqtaa-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0014,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Rabdan,urban district,,rabdan-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0015,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Hudayriat Island,island,,al-hudayriat-island-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0016,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Lulu Island,island,,al-lulu-island-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0017,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Reem Island,island,,al-reem-island-abu-dhabi,https://www.dmt.gov.ae/en/adm
